f1,209
f2,209
f3,208
f4,208
f5,206
f6,205
f7,205
f8,204
f9,204
f10,204
f11,204
f12,203
f13,203
f14,203
f15,202
f16,202
f17,201
f18,201
f19,201
f20,200
f21,200
f22,200
f23,200
f24,200
f25,200
f26,199
f27,199
f28,199
f29,199
f30,199
f31,199
f32,199
f33,198
f34,198
f35,197
f36,197
f37,196
f38,196
f39,196
f40,195
f41,195
f42,195
f43,195
f44,194
f45,194
f46,193
f47,193
f48,193
f49,193
f50,193
f51,192
f52,192
f53,192
f54,190
f55,190
f56,190
f57,190
f58,190
f59,189
f60,189
f61,189
f62,188
f63,188
f64,187
f65,186
f66,186
f67,185
f68,184
f69,184
f70,184
f71,183
f72,183
f73,182
f74,182
f75,182
f76,182
f77,181
f78,181
f79,181
f80,181
f81,181
f82,181
f83,180
f84,180
f85,179
f86,179
f87,179
f88,178
f89,177
f90,177
f91,177
f92,176
f93,175
f94,175
f95,175
f96,175
f97,174
f98,174
f99,174
f100,173
f101,173
f102,173
f103,172
f104,172
f105,171
f106,171
f107,171
f108,171
f109,171
f110,169
f111,169
f112,168
f113,168
f114,167
f115,167
f116,167
f117,167
f118,165
f119,165
f120,164
f121,164
f122,164
f123,163
f124,163
f125,163
f126,163
f127,162
f128,162
f129,162
f130,162
f131,162
f132,162
f133,160
f134,160
f135,160
f136,160
f137,159
f138,159
f139,158
f140,158
f141,158
f142,158
f143,157
f144,157
f145,156
f146,156
f147,156
f148,156
f149,155
f150,155
f151,154
f152,153
f153,153
f154,153
f155,153
f156,152
f157,151
f158,151
f159,151
f160,151
f161,149
f162,149
f163,148
f164,148
f165,147
f166,147
f167,147
f168,146
f169,145
f170,144
f171,143
f172,142
f173,142
f174,141
f175,141
f176,141
f177,141
f178,140
f179,140
f180,140
f181,140
f182,139
f183,139
f184,139
f185,138
f186,138
f187,138
f188,138
f189,137
f190,137
f191,136
f192,135
f193,135
f194,135
f195,134
f196,134
f197,134
f198,134
f199,133
f200,133
f201,133
f202,132
f203,132
f204,132
f205,132
f206,131
f207,130
f208,130
f209,130
f210,130
f211,129
f212,129
f213,128
f214,128
f215,127
f216,127
f217,127
f218,127
f219,127
f220,126
f221,126
f222,126
f223,126
f224,126
f225,125
f226,125
f227,125
f228,124
f229,124
f230,123
f231,123
f232,122
f233,122
f234,122
f235,122
f236,121
f237,121
f238,121
f239,121
f240,120
f241,119
f242,119
f243,119
f244,119
f245,118
f246,118
f247,118
f248,117
f249,117
f250,117
f251,116
f252,116
f253,116
f254,115
f255,115
f256,115
f257,115
f258,114
f259,114
f260,114
f261,113
f262,113
f263,112
f264,112
f265,112
f266,112
f267,112
f268,111
f269,109
f270,108
f271,108
f272,107
f273,105
f274,105
f275,104
f276,104
f277,103
f278,103
f279,103
f280,102
f281,102
f282,102
f283,101
f284,100
f285,100
f286,99
f287,99
f288,98
f289,98
f290,98
f291,98
f292,98
f293,97
f294,96
f295,96
f296,96
f297,96
f298,96
f299,95
f300,94
f301,94
f302,93
f303,92
f304,92
f305,92
f306,91
f307,91
f308,90
f309,90
f310,89
f311,89
f312,89
f313,88
f314,88
f315,88
f316,87
f317,87
f318,86
f319,85
f320,84
f321,84
f322,84
f323,82
f324,82
f325,82
f326,82
f327,82
f328,81
f329,81
f330,80
f331,80
f332,80
f333,80
f334,80
f335,79
f336,79
f337,79
f338,79
f339,78
f340,78
f341,78
f342,78
f343,78
f344,77
f345,77
f346,76
f347,76
f348,75
f349,75
f350,75
f351,74
f352,74
f353,74
f354,72
f355,72
f356,72
f357,72
f358,72
f359,70
f360,70
f361,70
f362,70
f363,70
f364,70
f365,70
f366,69
f367,69
f368,69
f369,68
f370,67
f371,65
f372,65
f373,65
f374,65
f375,65
f376,65
f377,64
f378,64
f379,63
f380,63
f381,62
f382,62
f383,61
f384,59
f385,59
f386,58
f387,57
f388,57
f389,56
f390,56
f391,56
f392,56
f393,55
f394,55
f395,54
f396,53
f397,53
f398,52
f399,51
f400,51
f401,51
f402,50
f403,50
f404,50
f405,49
f406,49
f407,48
f408,47
f409,46
f410,46
f411,46
f412,44
f413,44
f414,43
f415,43
f416,43
f417,43
f418,41
f419,40
f420,40
f421,40
f422,40
f423,39
f424,39
f425,39
f426,39
f427,38
f428,38
f429,38
f430,38
f431,37
f432,37
f433,37
f434,37
f435,36
f436,35
f437,35
f438,35
f439,35
f440,34
f441,34
f442,34
f443,33
f444,33
f445,33
f446,32
f447,32
f448,32
f449,32
f450,31
f451,31
f452,31
f453,31
f454,31
f455,30
f456,30
f457,30
f458,30
f459,29
f460,29
f461,29
f462,28
f463,28
f464,28
f465,28
f466,27
f467,26
f468,26
f469,26
f470,25
f471,25
f472,24
f473,24
f474,24
f475,24
f476,24
f477,23
f478,23
f479,23
f480,22
f481,21
f482,20
f483,19
f484,19
f485,19
f486,18
f487,18
f488,17
f489,17
f490,17
f491,16
f492,15
f493,15
f494,15
f495,15
f496,15
f497,14
f498,14
f499,14
f500,13
